risk_score,prob,premium_dynamic,expected_loss
100,0.6962057550292844,162.0,69.62057550292843
100,0.7037815126050421,162.0,70.37815126050421
100,0.812962962962963,162.0,81.2962962962963
100,0.6962057550292844,162.0,69.62057550292843
100,0.6962057550292844,162.0,69.62057550292843
100,0.4581105169340464,162.0,45.81105169340464
100,0.7843915343915344,162.0,78.43915343915344
100,0.7037815126050421,162.0,70.37815126050421
100,0.7037815126050421,162.0,70.37815126050421
100,0.8053872053872054,162.0,80.53872053872054
100,0.812962962962963,162.0,81.2962962962963
100,0.7037815126050421,162.0,70.37815126050421
100,0.7037815126050421,162.0,70.37815126050421
100,0.6962057550292844,162.0,69.62057550292843
100,0.7037815126050421,162.0,70.37815126050421
100,0.6962057550292844,162.0,69.62057550292843
100,0.7037815126050421,162.0,70.37815126050421
100,0.6962057550292844,162.0,69.62057550292843
100,0.7169398351618339,162.0,71.6939835161834
100,0.6962057550292844,162.0,69.62057550292843
